cantonese_141015_367259-15 3.6036036036 x
cantonese_140927_363450-6 3.6337209302 x
cantonese_140927_363450-5 3.6418816388 x
cantonese_140916_361200-30 3.8805970149 x
cantonese_140927_363450-24 3.8888888889 x
cantonese_140916_361200-13 3.9244186047 x
cantonese_140927_363450-1 3.9473684211 x
cantonese_140916_361200-22 4.0133779264 x
cantonese_141007_365536-18 4.0520984081
cantonese_141015_367259-23 4.126984127 x
cantonese_140926_363198-21 4.1666666667
cantonese_140916_361200-24 4.2003231018
cantonese_140927_363450-8 4.2003231018
cantonese_140916_361200-5 4.2207792208
cantonese_141015_367263-11 4.2386185243
cantonese_141015_367259-21 4.2386185243
cantonese_140926_363306-6 4.2589437819
cantonese_141007_365536-7 4.2748091603
cantonese_140917_361368-5 4.3706293706
cantonese_141007_365526-28 4.3706293706
cantonese_140918_361554-5 4.3771043771
cantonese_140916_361200-10 4.3831168831
cantonese_140926_363198-22 4.3936731107
cantonese_141007_365526-19 4.406779661
cantonese_141004_365094-21 4.4164037855
cantonese_140926_363178-21 4.4660194175 x
cantonese_140916_361200-14 4.5234248788
cantonese_141007_365536-14 4.5801526718
cantonese_140918_361554-4 4.6312178388
cantonese_141015_367259-14 4.6594982079
cantonese_140916_361200-16 4.6594982079
cantonese_140926_363298-6 4.6966731898 x
cantonese_140925_363090-6 4.7619047619 x
cantonese_141007_365536-29 4.8780487805
cantonese_140917_361288-21 4.8923679061
cantonese_140916_361202-21 4.8923679061
cantonese_140926_363228-11 4.8951048951
cantonese_141006_365328-7 4.9206349206
cantonese_141005_365170-6 4.9253731343
cantonese_141007_365536-30 4.954954955
cantonese_140926_363198-8 4.9557522124
cantonese_140928_363564-14 4.958677686
cantonese_140918_361554-26 4.9632352941
cantonese_141005_365168-26 4.9822064057
cantonese_141005_365168-19 4.9822064057
cantonese_140917_361320-28 5.0347222222
cantonese_141005_365170-5 5.047318612
cantonese_141007_365536-13 5.1948051948
cantonese_141007_365526-5 5.2532833021
cantonese_141007_365526-26 5.3308823529
cantonese_140925_362959-9 5.4054054054
cantonese_140928_363564-9 5.4054054054
cantonese_140928_363564-2 5.4409005629
cantonese_140926_363222-28 5.5118110236
cantonese_141007_365536-24 5.5160142349
cantonese_141005_365168-3 5.5160142349
cantonese_140917_361288-6 5.5555555556
cantonese_140918_361554-11 5.59566787
cantonese_140928_363564-21 5.5970149254
cantonese_140917_361320-11 5.5984555985
cantonese_140918_361606-1 5.753968254
cantonese_141005_365168-8 5.7761732852
cantonese_141007_365536-25 5.7996485062
cantonese_140928_363564-27 5.8252427184
cantonese_140927_363424-17 5.8935361217
cantonese_140927_363424-7 6.0491493384
cantonese_140927_363424-5 6.2622309198
cantonese_141005_365172-8 6.3789868668
cantonese_141005_365172-15 6.4077669903
cantonese_140927_363424-11 6.7542213884
cantonese_141005_365172-14 7.1428571429
