cantonese_140927_363424 0 50 0 18 19 17 9 57 10 5 21 32 28 14 39 25 25 17 2 25 14 8 5 10 9 24 30 33 14 37 2 32 48 52 5
cantonese_140916_361032 0 68 0 40 36 60 6 105 24 8 42 82 58 65 69 39 53 28 9 28 27 16 2 21 28 42 58 52 31 49 5 63 66 101 2
cantonese_141007_365526 0 94 0 31 27 49 18 84 22 7 37 57 50 38 66 48 29 24 9 37 35 16 7 12 13 41 48 46 32 49 1 64 65 68 7
cantonese_141004_365076 0 156 0 41 25 54 23 128 20 17 58 107 77 68 30 39 62 37 16 30 34 21 6 40 31 57 66 91 55 51 6 62 29 81 6
cantonese_141004_365094 0 169 0 54 48 89 8 109 22 16 52 86 85 40 89 63 59 28 13 66 46 19 19 31 26 57 72 83 57 52 3 81 69 131 19
cantonese_141007_365528 0 92 0 34 36 54 22 117 28 14 54 78 51 48 59 43 50 36 12 29 22 21 7 30 31 44 69 70 47 44 6 62 62 90 7
cantonese_140926_363298 0 132 0 35 41 93 24 121 14 37 87 74 50 61 62 44 55 29 17 46 49 17 14 49 34 50 85 114 41 77 15 71 51 91 14
cantonese_141005_365170 0 147 0 48 17 43 29 98 41 19 46 68 68 53 60 47 47 28 13 33 27 10 6 12 22 53 43 53 42 58 0 65 65 74 6
cantonese_141005_365172 0 137 0 42 43 67 9 96 25 14 59 53 59 21 44 56 45 17 9 25 28 9 8 11 29 44 65 39 27 58 6 63 51 92 8
cantonese_140925_363090 0 172 0 61 32 83 20 113 27 9 28 84 66 67 70 46 72 24 9 34 51 28 2 39 28 66 71 105 42 60 9 55 59 101 2
cantonese_140928_363564 0 152 0 82 47 74 18 151 31 32 76 108 61 57 69 39 62 33 7 50 50 27 3 30 28 61 85 98 50 120 6 62 98 180 3
cantonese_141015_367259 0 189 0 34 34 33 29 95 26 24 53 102 69 52 33 42 81 37 22 47 65 28 1 31 11 66 64 93 75 51 15 65 39 72 1
cantonese_140925_362959 0 91 0 45 43 77 25 126 18 21 55 104 62 65 70 58 77 43 18 57 55 18 7 35 31 51 83 87 44 57 7 91 81 121 7
cantonese_140918_361606 0 86 0 38 32 73 27 110 26 15 39 66 63 37 74 55 47 28 7 34 57 30 4 38 18 48 58 73 41 40 7 79 72 87 4
cantonese_140917_361288 0 63 0 45 31 59 22 92 25 16 44 77 78 38 79 54 65 26 7 26 29 10 5 27 32 45 57 61 31 43 6 72 84 93 5
cantonese_140918_361554 0 173 0 52 47 55 21 151 46 16 82 100 80 75 63 64 50 44 13 36 46 13 4 38 17 71 44 84 52 86 6 81 76 104 4
cantonese_141006_365328 0 96 0 48 33 50 18 101 22 27 58 99 68 66 58 61 59 38 7 59 59 32 6 62 21 57 63 123 45 53 3 57 64 80 6
cantonese_140916_361200 0 189 0 54 62 77 30 137 25 24 61 111 91 60 57 55 94 41 36 67 61 26 10 44 35 70 79 99 44 50 29 82 49 108 10
cantonese_141006_365326 0 130 0 38 30 23 15 72 16 10 35 75 53 44 39 36 59 18 7 51 27 12 8 39 26 38 35 55 31 32 10 54 34 62 8
cantonese_140917_361368 0 98 0 38 32 56 21 96 22 8 47 68 51 34 69 51 82 38 4 42 42 14 6 28 26 37 50 57 26 38 7 67 80 83 6
cantonese_140917_361320 0 104 0 44 26 61 10 93 40 8 51 51 51 30 83 40 34 26 21 23 24 9 3 12 7 43 48 41 27 56 9 43 64 71 3
cantonese_140916_361202 0 135 0 47 29 66 25 92 12 28 24 90 61 44 36 54 77 25 8 61 46 28 5 40 24 55 55 63 36 50 12 61 42 85 5
cantonese_140924_362835 0 179 0 59 39 55 21 143 32 22 46 162 85 60 45 31 76 41 30 71 45 32 8 31 21 61 96 133 59 49 10 71 41 120 8
cantonese_141005_365168 0 117 0 56 25 57 40 141 34 25 65 143 91 83 58 69 105 47 15 63 51 63 12 52 25 89 84 118 55 87 25 83 48 136 12
cantonese_141015_367263 0 50 0 22 9 9 9 38 13 9 13 39 34 18 6 21 29 5 15 14 12 7 2 22 3 15 26 31 10 13 1 18 10 26 2
cantonese_140916_361014 0 57 0 13 23 13 6 39 9 3 22 31 26 17 27 18 23 9 1 22 11 7 1 6 9 20 24 20 16 40 5 30 20 37 1
cantonese_140917_361366 0 147 0 26 27 66 25 101 28 31 51 82 65 53 44 51 73 42 15 44 58 39 3 54 17 59 46 117 59 38 30 67 30 77 3
cantonese_140926_363222 0 86 0 42 21 57 26 95 21 14 42 71 43 36 66 52 53 31 12 43 38 17 3 22 15 35 54 81 41 42 11 66 78 74 3
cantonese_140926_363178 0 188 0 55 38 62 19 112 34 14 52 102 68 53 80 43 95 40 30 42 48 24 12 46 25 48 67 99 35 44 13 78 47 134 12
cantonese_141007_365536 0 166 0 65 27 66 8 193 64 33 92 99 78 39 59 72 64 51 4 50 64 21 10 30 24 50 88 128 73 102 7 89 59 111 10
cantonese_140926_363228 0 105 0 29 32 53 13 73 20 12 43 45 50 16 35 33 49 22 4 27 23 19 1 16 8 34 39 37 37 50 6 47 30 63 1
cantonese_140926_363198 0 188 0 43 48 59 28 161 20 19 41 110 63 46 86 57 66 33 14 47 44 12 11 29 26 59 110 84 47 51 11 72 89 109 11
cantonese_140926_363306 0 116 0 26 29 60 13 75 19 3 40 51 49 37 76 44 22 10 14 37 28 15 1 20 12 45 39 39 18 54 14 61 77 85 1
cantonese_140927_363450 0 119 0 46 21 48 25 97 29 14 44 96 65 55 37 39 88 31 19 29 32 19 9 26 20 61 66 67 37 51 8 47 24 65 9
