cantonese_141004_365094 0 194 138 96 70 56 145
cantonese_140924_362835 0 142 122 149 89 51 154
cantonese_140925_363090 0 148 118 113 114 58 110
cantonese_140916_361202 0 163 78 109 87 46 85
cantonese_141015_367259 0 139 109 94 88 61 121
cantonese_140927_363450 0 83 95 89 94 55 118
cantonese_141007_365536 0 193 131 124 91 75 172
cantonese_140926_363222 0 158 106 73 73 46 110
cantonese_141006_365328 0 168 110 92 102 42 133
cantonese_141004_365076 0 150 87 102 71 41 137
cantonese_140926_363178 0 166 127 117 98 45 123
cantonese_140926_363306 0 147 95 63 62 35 85
cantonese_141015_367263 0 49 29 37 26 19 60
cantonese_141006_365326 0 96 80 55 63 40 105
cantonese_140917_361366 0 179 113 77 80 36 130
cantonese_140925_362959 0 200 140 114 59 54 135
cantonese_140918_361554 0 147 146 107 78 100 152
cantonese_140916_361014 0 64 46 35 37 15 34
cantonese_140926_363298 0 163 113 109 89 38 141
cantonese_140926_363228 0 111 87 60 35 56 58
cantonese_141005_365172 0 100 137 77 63 51 87
cantonese_140928_363564 0 210 192 118 73 64 134
cantonese_141007_365528 0 181 88 104 54 34 104
cantonese_141005_365168 0 168 161 144 140 58 157
cantonese_141005_365170 0 141 107 83 71 38 94
cantonese_140916_361032 0 157 82 92 64 36 107
cantonese_140917_361368 0 165 96 67 71 45 94
cantonese_140926_363198 0 180 142 91 82 50 138
cantonese_140917_361320 0 145 92 71 59 59 82
cantonese_140917_361288 0 151 92 89 79 40 121
cantonese_140927_363424 0 63 61 37 37 27 62
cantonese_140916_361200 0 170 135 126 98 71 147
cantonese_140918_361606 0 171 108 96 76 28 118
cantonese_141007_365526 0 130 86 63 50 53 89
