Jyutping,X-SAMPA,Yale
aa,a:,aa
a,6,a
e,E:,e
e,E:,e
i,i:,i
i,i:,i
o,O:,o
o,O:,o
u,u:,u
u,u:,u
oe,9:,eu
eo,9:,eu
yu,y:,yu
m,m,m
ng,N,ng
iu,iw,iu
ei,ej,ei
au,6w,au
ai,6j,ai
aai,a:j,aai
aau,a:w,aau
oi,O:j,oi
ou,ow,ou
ui,u:j,ui
eoi,9y,eui
eu,iw,iu
eui,9y,eui
oei,9y,eui
